Dia,Evento A,Evento B
1 | Sábado,Caixa d'Ébano Púrpura,Puzzle de Pesca
2 | Domingo,Reforço para Itens (A),Feitiço para Itens (A)
3 | Segunda-feira,Passagem,Cor Draconis (Cru)
4 | Terça-feira,Tecido Fino,Pergaminho do Exorcismo
5 | Quarta-feira,Conselho de Eremita,Cor Draconis (Cru)
6 | Quinta-feira,Super Metins,Muffin (Azul)
7 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
8 | Sábado,Cofre do Livro do Pet,Expansão de Inventário
9 | Domingo,Chama do Dragão (B),Puzzle de Pesca
10 | Segunda-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
11 | Terça-feira,Reforço para Itens (A),Feitiço para Itens (A)
12 | Quarta-feira,Conselho de Eremita,Cor Draconis (Cru)
13 | Quinta-feira,Nugget (Verde),Super Metins
14 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
15 | Sábado,Anel do Transporte,Evento de Luares (Normal)
16 | Domingo,Reforço para Itens (A),Feitiço para Itens (A)
17 | Segunda-feira,Super Metins,Elixir do Investigador
18 | Terça-feira,Tecido Fino,Cor Draconis (Cru)
19 | Quarta-feira,Muffin (Azul),Nugget (Verde)
20 | Quinta-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
21 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
22 | Sábado,Puzzle de Pesca,Mármore da Benção
23 | Domingo,Caixa d'Ébano Púrpura,Expansão de Inventário
24 | Segunda-feira,Passagem,Cor Draconis (Cru)
25 | Terça-feira,Muffin (Azul),Super Metins
26 | Quarta-feira,Feijão do Dragão Verde,Pergaminho do Exorcismo
27 | Quinta-feira,Elixir do Investigador,Conselho de Eremita
28 | Sexta-feira,Tecido Fino,Orison Pequeno
