Dia,Evento A,Evento B
1 | Quinta-feira,Nugget (Verde),Super Metins
2 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
3 | Sábado,Reforço para Itens (A),Feitiço para Itens (A)
4 | Domingo,Puzzle de Pesca,Caixa d'Ébano Púrpura
5 | Segunda-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
6 | Terça-feira,Reforço para Itens (A),Feitiço para Itens (A)
7 | Quarta-feira,Conselho de Eremita,Cor Draconis (Cru)
8 | Quinta-feira,Nugget (Verde),Tecido Fino
9 | Sexta-feira,Super Metins,Orison Pequeno
10 | Sábado,Reforço para Itens (A),Feitiço para Itens (A)
11 | Domingo,Puzzle de Pesca,Evento de Luares (Normal)
12 | Segunda-feira,Tecido Fino,Cor Draconis (Cru)
13 | Terça-feira,Muffin (Azul),Super Metins
14 | Quarta-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
15 | Quinta-feira,Cor Draconis (Cru),Nugget (Verde)
16 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
17 | Sábado,Expansão de Inventário,Puzzle de Pesca
18 | Domingo,Chama do Dragão (B),Cofre do Livro do Pet
19 | Segunda-feira,Cor Draconis (Cru),Nugget (Verde)
20 | Terça-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
21 | Quarta-feira,Reforço para Itens (A),Feitiço para Itens (A)
22 | Quinta-feira,Super Metins,Cor Draconis (Cru)
23 | Sexta-feira,Muffin (Azul),Orison Pequeno
24 | Sábado,Mármore da Benção,Anel do Transporte
25 | Domingo,Reforço para Itens (A),Feitiço para Itens (A)
26 | Segunda-feira,Pergaminho do Exorcismo,Feijão do Dragão Verde
27 | Terça-feira,Reforço para Itens (A),Feitiço para Itens (A)
28 | Quarta-feira,Conselho de Eremita,Cor Draconis (Cru)
29 | Quinta-feira,Nugget (Verde),Super Metins
30 | Sexta-feira,Pergaminho da Bênção,Orison Pequeno
31 | Sábado,Puzzle de Pesca,Caixa d'Ébano Púrpura
