Dia,Evento A,Evento B
1 | ,Reforço para Itens (B),Feitiço para Itens (B)
2 | ,Caixa d'Ébano Púrpura,Puzzle de Pesca
3 | ,Super Metins,Elixir do Investigador
4 | ,Tecido Fino,Cor Draconis (Cru)
5 | ,Muffin (Azul),Nugget (Verde)
6 | ,Pergaminho do Exorcismo,Feijão do Dragão Verde
7 | ,Pergaminho da Bênção,Orison Pequeno
8 | ,Puzzle de Pesca,Expansão de Inventário
9 | ,Chama do Dragão (B),Cofre do Livro do Pet
10 | ,Passagem,Cor Draconis (Cru)
11 | ,Tecido Fino,Pergaminho do Exorcismo
12 | ,Conselho de Eremita,Cor Draconis (Cru)
13 | ,Super Metins,Muffin (Azul)
14 | ,Pergaminho da Bênção,Orison Pequeno
15 | ,Anel do Transporte,Evento de Luares (Normal)
16 | ,Reforço para Itens (B),Feitiço para Itens (B)
17 | ,Pergaminho do Exorcismo,Feijão do Dragão Verde
18 | ,Reforço para Itens (B),Feitiço para Itens (B)
19 | ,Conselho de Eremita,Cor Draconis (Cru)
20 | ,Nugget (Verde),Super Metins
21 | ,Pergaminho da Bênção,Orison Pequeno
22 | ,Reforço para Itens (B),Feitiço para Itens (B)
23 | ,Expansão de Inventário,Puzzle de Pesca
24 | ,Passagem,Cor Draconis (Cru)
25 | ,Tecido Fino,Pergaminho do Exorcismo
26 | ,Conselho de Eremita,Cor Draconis (Cru)
27 | ,Super Metins,Muffin (Azul)
28 | ,Pergaminho da Bênção,Orison Pequeno
29 | ,Reforço para Itens (B),Mármore da Benção
30 | ,Feitiço para Itens (B),Anel do Transporte
31 | ,Muffin (Azul),Super Metins
